demo_id,filename,event,date,team1,team2,map_name,status,notes
esl-pro-league-s20-2024__semi-final__natus-vincere-vs-g2-m2-nuke,esl-pro-league-s20-2024__semi-final__natus-vincere-vs-g2-m2-nuke.dem,esl pro league s20 2024 | semi final,,natus vincere,g2,nuke,featured,24 rounds
esl-pro-league-s20-2024__semi-final__natus-vincere-vs-g2-m3-ancient,esl-pro-league-s20-2024__semi-final__natus-vincere-vs-g2-m3-ancient.dem,esl pro league s20 2024 | semi final,,natus vincere,g2,ancient,featured,19 rounds
esl-pro-league-s21-2025__final__mouz-vs-vitality-m1-dust2,esl-pro-league-s21-2025__final__mouz-vs-vitality-m1-dust2.dem,esl pro league s21 2025 | final,,mouz,vitality,dust2,featured,22 rounds
esl-pro-league-s21-2025__final__mouz-vs-vitality-m2-nuke,esl-pro-league-s21-2025__final__mouz-vs-vitality-m2-nuke.dem,esl pro league s21 2025 | final,,mouz,vitality,nuke,featured,17 rounds
esl-pro-league-s21-2025__final__mouz-vs-vitality-m3-inferno,esl-pro-league-s21-2025__final__mouz-vs-vitality-m3-inferno.dem,esl pro league s21 2025 | final,,mouz,vitality,inferno,featured,18 rounds
esl-pro-league-s21-2025__semi-final__vitality-vs-the-mongolz-m1-anubis,esl-pro-league-s21-2025__semi-final__vitality-vs-the-mongolz-m1-anubis.dem,esl pro league s21 2025 | semi final,,vitality,the mongolz,anubis,featured,17 rounds
esl-pro-league-s21-2025__semi-final__vitality-vs-the-mongolz-m2-nuke,esl-pro-league-s21-2025__semi-final__vitality-vs-the-mongolz-m2-nuke.dem,esl pro league s21 2025 | semi final,,vitality,the mongolz,nuke,featured,30 rounds
esl-pro-league-s21-2025__semi-final__vitality-vs-the-mongolz-m3-inferno,esl-pro-league-s21-2025__semi-final__vitality-vs-the-mongolz-m3-inferno.dem,esl pro league s21 2025 | semi final,,vitality,the mongolz,inferno,featured,15 rounds
iem-chengdu-2025__final__vitality-vs-furia-m1-ancient,iem-chengdu-2025__final__vitality-vs-furia-m1-ancient.dem,iem chengdu 2025 | final,,vitality,furia,ancient,featured,24 rounds
iem-chengdu-2025__final__vitality-vs-furia-m2-inferno,iem-chengdu-2025__final__vitality-vs-furia-m2-inferno.dem,iem chengdu 2025 | final,,vitality,furia,inferno,featured,23 rounds
